case_id,case_type,problem_category,dice_score,baseline_volume,gt_volume,volume_ratio,num_components_baseline,num_components_gt,largest_component_baseline,largest_component_gt,fragmentation_baseline,compactness,com_distance,shape
ISPY1_1202,ISPY,GOOD,0.6994755949979831,4270,3167,1.3482791285127882,1,1,4270,3167,0.234192037470726,0.2946859903381642,7.062338442630211,"[512, 512, 44]"
ISPY1_1203,ISPY,EXCELLENT,0.8467133099195265,15912,20249,0.7858165835349894,5,2,15700,20247,0.314228255404726,0.19220641171212524,0.06913329984011639,"[256, 256, 64]"
ISPY1_1208,ISPY,GOOD,0.7779445552441275,143623,192820,0.7448553054662379,25,6,142621,192551,0.17406682773650461,0.15458292971693036,5.938152766108795,"[256, 256, 64]"
ISPY1_1210,ISPY,EXCELLENT,0.8981913959613697,27880,29070,0.9590643274853801,2,2,27877,28956,0.07173601147776183,0.2658276125095347,1.2787115734151102,"[256, 256, 64]"
ISPY1_1215,ISPY,EXCELLENT,0.9331687835313073,28433,29908,0.9506820917480273,1,1,28433,29908,0.03517040059086273,0.42919031517932615,0.8993785205099573,"[256, 256, 60]"
ISPY1_1218,ISPY,GOOD,0.7287268206775096,17679,30586,0.5780095468515006,1,3,17679,30479,0.05656428531025511,0.3551711668273867,4.181195883875753,"[512, 512, 44]"
ISPY1_1219,ISPY,EXCELLENT,0.898518158629904,16958,15974,1.0616001001627644,1,1,16958,15974,0.05896921806816842,0.3716577540106952,0.4866617008603407,"[256, 256, 64]"
ISPY1_1221,ISPY,GOOD,0.7875414546672284,149286,220998,0.6755083756414085,13,7,149207,220972,0.08708117305038651,0.2864,11.911026034350233,"[256, 256, 64]"
ISPY1_1222,ISPY,EXCELLENT,0.8467050156423453,10342,9476,1.0913887716336006,1,3,10342,9456,0.09669309611293753,0.2868872922965963,0.9207933462785689,"[256, 256, 60]"
ISPY1_1224,ISPY,EXCELLENT,0.9241474694212732,11951,11186,1.06838905775076,1,1,11951,11186,0.08367500627562546,0.5038789105320853,1.1933298513307644,"[512, 512, 48]"
ISPY1_1225,ISPY,EXCELLENT,0.8474215842636895,2775,2868,0.9675732217573222,1,1,2775,2868,0.3603603603603604,0.3208463406174124,1.5849513697556588,"[256, 256, 64]"
ISPY1_1227,ISPY,MODERATE,0.5559642669469259,4110,3502,1.1736150770988008,2,5,2903,3270,0.48661800486618,0.024325284090909092,35.43791079499383,"[256, 256, 60]"
ISPY1_1230,ISPY,EXCELLENT,0.8721145223254321,43514,46809,0.9296075541028435,2,9,43501,46715,0.04596221905593602,0.31963624610683433,3.9913807113410678,"[512, 512, 54]"
ISPY1_1231,ISPY,MODERATE,0.590501744030051,12153,6482,1.874884294970688,8,16,11932,6291,0.6582736772813297,0.12360030511060259,6.006967982875595,"[256, 256, 60]"
ISPY1_1233,ISPY,EXCELLENT,0.8223225573415207,11876,15809,0.7512176608261117,1,1,11876,15809,0.08420343550016841,0.5536596736596736,1.3835133608505505,"[512, 512, 44]"
ISPY1_1235,ISPY,EXCELLENT,0.8680816980376451,22704,27236,0.8336025848142165,1,2,22704,27230,0.044045102184637065,0.24153191489361703,2.3899831392773603,"[512, 512, 44]"
ISPY1_1236,ISPY,EXCELLENT,0.8164130705911699,10018,14036,0.713736107153035,1,1,10018,14036,0.09982032341784787,0.4846637639090469,0.878703272436116,"[512, 512, 44]"
ISPY1_1238,ISPY,EXCELLENT,0.9148591777274199,20252,19905,1.0174328058276816,1,1,20252,19905,0.049377839225755484,0.42617845117845116,1.1125790126670159,"[256, 256, 64]"
ISPY2_105513,ISPY,EXCELLENT,0.9313583815028902,6580,7260,0.90633608815427,1,1,6580,7260,0.1519756838905775,0.6219281663516069,0.24101923409084722,"[384, 384, 160]"
ISPY2_108939,ISPY,EXCELLENT,0.8436156938860391,7099,7327,0.9688822164596698,3,1,6526,7327,0.4225947316523454,0.019724375538329026,19.22727933099944,"[384, 384, 160]"
ISPY2_108969,ISPY,GOOD,0.6984343671345079,13459,9982,1.3483269885794429,8,5,8816,9906,0.5943978007281373,0.07666324903167009,16.43691752335162,"[256, 256, 80]"
ISPY2_109874,ISPY,EXCELLENT,0.8593527628240827,7465,8696,0.858440662373505,1,3,7465,8688,0.13395847287340926,0.319017094017094,1.0455390712391812,"[256, 256, 80]"
ISPY2_109980,ISPY,GOOD,0.7680937549490577,7447,11496,0.6477905358385525,3,7,3531,7856,0.4028467839398415,0.2063109485815603,3.606610632208021,"[256, 256, 80]"
ISPY2_111004,ISPY,EXCELLENT,0.8625450180072028,25851,30793,0.8395089793134803,3,8,25687,29424,0.11604966925844262,0.18732608695652173,3.522674407939116,"[256, 256, 72]"
ISPY2_111674,ISPY,EXCELLENT,0.8790387182910547,5497,5738,0.9579993028929941,4,5,5330,5717,0.7276696379843551,0.030062893081761008,4.748806059844879,"[384, 384, 72]"
ISPY2_112606,ISPY,EXCELLENT,0.9420417400050289,15422,16394,0.9407100158594608,1,1,15422,16394,0.06484243288808196,0.41191239316239314,0.2056949706149658,"[384, 384, 160]"
ISPY2_115638,ISPY,EXCELLENT,0.8958234211125132,48152,48530,0.9922110035029879,4,13,45686,48465,0.0830702774547267,0.19471402691511386,2.0042042890191825,"[384, 384, 176]"
